,ts,md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
1,202307122024,0.1,xception,0,0.984720957290179,0.985356536502547,0.984968646511835,0.985356536502547,0.949411764705882,0.996374935266701,0.003625064733299,0.050588235294118
2,202307122024,0.3,xception,0,0.984770074828135,0.985356536502547,0.985008271178875,0.985356536502547,0.944705882352941,0.996633868461937,0.003366131538063,0.055294117647059
3,202307122024,0.5,xception,0,0.979184454087299,0.980475382003396,0.980216135490227,0.980475382003396,0.904705882352941,0.998446400828586,0.001553599171414,0.095294117647059
4,202307122024,0.7,xception,0,0.956800860922862,0.962436332767402,0.963556483894977,0.962436332767402,0.802352941176471,0.998964267219058,0.001035732780943,0.197647058823529
5,202307122024,0.9,xception,0,0.896583302849746,0.915959252971138,0.923295787705933,0.915959252971138,0.536470588235294,1,0,0.463529411764706
6,202307122024,0.1,densenet121,0,0.955173375582388,0.960738539898132,0.964239496259111,0.960738539898132,0.955294117647059,0.990937338166753,0.009062661833247,0.044705882352941
7,202307122024,0.3,densenet121,0,0.950329250001374,0.957979626485569,0.961258626876676,0.957979626485569,0.949411764705882,0.992490937338167,0.007509062661833,0.050588235294118
8,202307122024,0.5,densenet121,0,0.950058002141666,0.959040747028862,0.960250886309369,0.959040747028862,0.908235294117647,0.996374935266701,0.003625064733299,0.091764705882353
9,202307122024,0.7,densenet121,0,0.942847162475137,0.953310696095076,0.953846457886347,0.953310696095076,0.801176470588235,0.998964267219058,0.001035732780943,0.198823529411765
10,202307122024,0.9,densenet121,0,0.895849813912279,0.91553480475382,0.922684998754124,0.91553480475382,0.536470588235294,1,0,0.463529411764706
11,202307122024,0.1,inception_resnet_v2,0,0.967390347287484,0.969864176570458,0.971150979549101,0.969864176570458,0.950588235294118,0.99171413775246,0.00828586224754,0.049411764705882
12,202307122024,0.3,inception_resnet_v2,0,0.960045898550133,0.964770797962648,0.967486297816738,0.964770797962648,0.948235294117647,0.993008803728638,0.006991196271362,0.051764705882353
13,202307122024,0.5,inception_resnet_v2,0,0.953508279214435,0.961587436332767,0.96366009694701,0.961587436332767,0.908235294117647,0.996374935266701,0.003625064733299,0.091764705882353
27,202307122024,0.7,inception_resnet_v2,0,0.942170833224666,0.953735144312394,0.954807981092965,0.953735144312394,0.802352941176471,0.998964267219058,0.001035732780943,0.197647058823529
28,202307122024,0.1,xception,0,0.984720957290179,0.985356536502547,0.984968646511835,0.985356536502547,0.949411764705882,0.996374935266701,0.003625064733299,0.050588235294118
29,202307122024,0.3,xception,0,0.984770074828135,0.985356536502547,0.985008271178875,0.985356536502547,0.944705882352941,0.996633868461937,0.003366131538063,0.055294117647059
30,202307122024,0.5,xception,0,0.979184454087299,0.980475382003396,0.980216135490227,0.980475382003396,0.904705882352941,0.998446400828586,0.001553599171414,0.095294117647059
31,202307122024,0.7,xception,0,0.956800860922862,0.962436332767402,0.963556483894977,0.962436332767402,0.802352941176471,0.998964267219058,0.001035732780943,0.197647058823529
32,202307122024,0.9,xception,0,0.896583302849746,0.915959252971138,0.923295787705933,0.915959252971138,0.536470588235294,1,0,0.463529411764706
33,202307122024,0.1,densenet121,0,0.955173375582388,0.960738539898132,0.964239496259111,0.960738539898132,0.955294117647059,0.990937338166753,0.009062661833247,0.044705882352941
34,202307122024,0.3,densenet121,0,0.950329250001374,0.957979626485569,0.961258626876676,0.957979626485569,0.949411764705882,0.992490937338167,0.007509062661833,0.050588235294118
35,202307122024,0.5,densenet121,0,0.950058002141666,0.959040747028862,0.960250886309369,0.959040747028862,0.908235294117647,0.996374935266701,0.003625064733299,0.091764705882353
36,202307122024,0.7,densenet121,0,0.942847162475137,0.953310696095076,0.953846457886347,0.953310696095076,0.801176470588235,0.998964267219058,0.001035732780943,0.198823529411765
37,202307122024,0.9,densenet121,0,0.895849813912279,0.91553480475382,0.922684998754124,0.91553480475382,0.536470588235294,1,0,0.463529411764706
38,202307122024,0.1,inception_resnet_v2,0,0.967390347287484,0.969864176570458,0.971150979549101,0.969864176570458,0.950588235294118,0.99171413775246,0.00828586224754,0.049411764705882
39,202307122024,0.3,inception_resnet_v2,0,0.960045898550133,0.964770797962648,0.967486297816738,0.964770797962648,0.948235294117647,0.993008803728638,0.006991196271362,0.051764705882353
40,202307122024,0.5,inception_resnet_v2,0,0.953508279214435,0.961587436332767,0.96366009694701,0.961587436332767,0.908235294117647,0.996374935266701,0.003625064733299,0.091764705882353
41,202307122024,0.7,inception_resnet_v2,0,0.942170833224666,0.953735144312394,0.954807981092965,0.953735144312394,0.802352941176471,0.998964267219058,0.001035732780943,0.197647058823529
42,202307122024,0.9,inception_resnet_v2,0,0.894523312081165,0.914898132427844,0.921779322017096,0.914898132427844,0.536470588235294,1,0,0.463529411764706
