md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0.1,xception,0,0.9741424092347474,0.9746770025839794,0.9744959168224633,0.9746770025839794,0.9393530997304582,0.9927457381211462,0.007254261878853766,0.0606469002695417
0.3,xception,0,0.9727151830910511,0.9733850129198967,0.9731552881351838,0.9733850129198967,0.9371069182389936,0.9931084512150888,0.0068915487849111,0.06289308176100623
0.1,inception_resnet_v2,0,0.964507578330489,0.9657622739018089,0.966088021929815,0.9657622739018089,0.9389038634321653,0.9898440333696046,0.010155966630395334,0.0610961365678346
0.5,xception,0,0.9635377858745274,0.9652454780361758,0.9654137441701561,0.9652454780361758,0.898921832884097,0.9961915125136015,0.0038084874863982,0.1010781671159029
0.3,inception_resnet_v2,0,0.9599538404749777,0.9622739018087856,0.9635396856515374,0.9622739018087856,0.9362084456424079,0.9909321726514327,0.0090678273485672,0.06379155435759207
0.5,inception_resnet_v2,0,0.9519288496100454,0.9560723514211887,0.9572430328052914,0.9560723514211887,0.9002695417789758,0.9951033732317737,0.004896626768226267,0.0997304582210242
0.3,densenet121,0,0.9187294835032237,0.9297157622739017,0.9362957119135918,0.9297157622739017,0.9407008086253367,0.9871236851650345,0.012876314834965466,0.059299191374663
0.5,densenet121,0,0.9172458163597538,0.9294573643410852,0.934705669987732,0.9294573643410852,0.9016172506738545,0.9934711643090316,0.0065288356909684,0.0983827493261455
0.7,xception,0,0.9166710377785057,0.9271317829457364,0.930482500391889,0.9271317829457364,0.7650494159928122,0.9974610083424013,0.0025389916575987667,0.2349505840071877
0.1,densenet121,0,0.9147203705089645,0.9253229974160208,0.9346227808430551,0.9253229974160208,0.9420485175202155,0.9838592673195502,0.016140732680449733,0.0579514824797843
0.7,inception_resnet_v2,0,0.9117295516525715,0.9245478036175712,0.9284194693061417,0.9245478036175712,0.7668463611859838,0.9974610083424013,0.0025389916575987667,0.2331536388140161
0.7,densenet121,0,0.891287447124422,0.9116279069767441,0.9132412654062875,0.9116279069767441,0.7668463611859838,0.9972796517954298,0.0027203482045701,0.2331536388140161
0.9,inception_resnet_v2,0,0.8138438909256066,0.8497416020671835,0.874321430332539,0.8497416020671835,0.48247978436657685,1.0,0.0,0.5175202156334232
0.9,densenet121,0,0.8136446547720936,0.8496124031007751,0.874097141562537,0.8496124031007751,0.48247978436657685,1.0,0.0,0.5175202156334232
0.9,xception,0,0.8125549041893959,0.8489664082687338,0.8724575919453755,0.8489664082687338,0.4820305480682839,1.0,0.0,0.5179694519317161
