,threshold,acc,prec,rec,fone
0,0.1,0.933,0.928,0.933,0.929
1,0.3,0.931,0.926,0.931,0.927
2,0.5,0.924,0.919,0.924,0.918
3,0.7,0.906,0.903,0.906,0.897
4,0.9,0.805,0.825,0.805,0.773
