,threshold,acc,prec,rec,fone,prec_ne,rec_ne,fone_ne
0,0.0,0.92,0.913,0.969,0.94,0.936,0.83,0.88
1,0.1,0.949,0.95,0.973,0.961,0.948,0.907,0.927
2,0.3,0.952,0.947,0.981,0.964,0.963,0.9,0.93
3,0.5,0.949,0.943,0.982,0.962,0.964,0.891,0.926
4,0.7,0.952,0.94,0.99,0.964,0.979,0.885,0.93
5,0.9,0.949,0.934,0.991,0.962,0.981,0.873,0.924
