,threshold,acc,prec,rec,fone,prec_ne,rec_ne,fone_ne
0,0.1,0.983,0.981,0.995,0.988,0.988,0.951,0.969
1,0.3,0.981,0.978,0.995,0.987,0.988,0.943,0.965
2,0.5,0.974,0.966,0.999,0.982,0.997,0.91,0.952
3,0.7,0.937,0.919,1.0,0.958,1.0,0.778,0.875
4,0.9,0.862,0.839,1.0,0.912,1.0,0.513,0.678
