,threshold,acc,prec,rec,fone,prec_ne,rec_ne,fone_ne
0,0.1,0.986,0.987,0.997,0.992,0.985,0.944,0.964
1,0.3,0.986,0.986,0.997,0.991,0.985,0.94,0.962
2,0.5,0.979,0.977,0.998,0.987,0.99,0.902,0.944
3,0.7,0.958,0.952,0.999,0.975,0.993,0.792,0.881
4,0.9,0.906,0.895,1.0,0.945,0.998,0.517,0.681
