,threshold,acc,prec,rec,fone
0,0.1,0.994,0.995,0.994,0.995
1,0.3,0.992,0.993,0.992,0.992
2,0.5,0.994,0.994,0.994,0.994
3,0.7,0.991,0.991,0.991,0.991
4,0.9,0.985,0.984,0.985,0.982
