md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0.1,xception,0,0.9331,0.9373,0.9331,0.9373,0.9028,0.9952,0.0048,0.0972
0.3,xception,0,0.9322,0.9362,0.9321,0.9362,0.8995,0.9955,0.0045,0.1005
0.5,xception,0,0.9205,0.9263,0.9213,0.9263,0.8749,0.9967,0.0033,0.1251
0.7,xception,0,0.9004,0.9090,0.9064,0.9090,0.8004,0.9980,0.0020,0.1996
0.3,inception_resnet_v2,0,0.8997,0.9091,0.9000,0.9091,0.9004,0.9920,0.0080,0.0996
0.5,inception_resnet_v2,0,0.8966,0.9062,0.8975,0.9062,0.8770,0.9955,0.0045,0.1230
0.1,inception_resnet_v2,0,0.8945,0.9046,0.8982,0.9046,0.9057,0.9900,0.0100,0.0943
0.3,densenet121,0,0.8940,0.9026,0.8918,0.9026,0.9004,0.9920,0.0080,0.0996
0.5,densenet121,0,0.8874,0.8994,0.8861,0.8994,0.8770,0.9955,0.0045,0.1230
0.1,densenet121,0,0.8849,0.8973,0.8874,0.8973,0.9057,0.9900,0.0100,0.0943
0.7,inception_resnet_v2,0,0.8802,0.8951,0.8873,0.8951,0.8007,0.9980,0.0020,0.1993
0.7,densenet121,0,0.8733,0.8886,0.8764,0.8886,0.8007,0.9980,0.0020,0.1993
0.9,xception,0,0.7812,0.8129,0.8350,0.8129,0.4982,1.0000,0.0000,0.5018
0.9,densenet121,0,0.7794,0.8117,0.8321,0.8117,0.4982,1.0000,0.0000,0.5018
0.9,inception_resnet_v2,0,0.7767,0.8103,0.8297,0.8103,0.4982,1.0000,0.0000,0.5018
