md_thresh,batch_size,model_backbone,transfer_learning_rate,finetune_learning_rate,transfer_epochs,finetune_epochs,finetune_layers,transfer_patience,finetune_patience,acc,prec,rec,f1,phase
0.1,32,resnet50,0.0001,0.005,10,0,0,2,2,0.820532319391635,0.7705528941020263,0.6833579941229968,0.7036916738556174,1
0.1,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8615969581749049,0.6729761527491052,0.7043518913214516,0.6841086490718342,1
0.1,32,xception,0.0001,0.005,10,0,0,2,2,0.8866920152091254,0.8706882918702414,0.7908990503016164,0.824551672037797,1
0.1,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8653992395437262,0.8434272225918638,0.7500895066185096,0.789586392139632,1
0.1,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8600760456273764,0.8358992113701497,0.7333820356658501,0.7711757960355359,1
0.1988888888888889,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8615969581749049,0.7786013756762675,0.6668424466565004,0.7103662544432552,1
0.1988888888888889,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8638783269961977,0.731418677246871,0.7473869757876375,0.7209343896779888,1
0.1988888888888889,32,xception,0.0001,0.005,10,0,0,2,2,0.8851711026615969,0.8321284473035166,0.7782247609608275,0.8001902065924853,1
0.1988888888888889,32,densenet121,0.0001,0.005,10,0,0,2,2,0.870722433460076,0.8197956871214255,0.7687695555979437,0.7894766755450282,1
0.1988888888888889,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8752851711026616,0.8233523829214728,0.788163564570274,0.7971015163301463,1
0.2977777777777778,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8608365019011407,0.7872428865610631,0.7617006199353833,0.7601793733352464,1
0.2977777777777778,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8897338403041825,0.8251566676519625,0.7976291857548541,0.8084859097105143,1
0.2977777777777778,32,xception,0.0001,0.005,10,0,0,2,2,0.9034220532319392,0.840527899768327,0.8314141328200069,0.8344553632940421,1
0.2977777777777778,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8745247148288974,0.8081813225228857,0.7930570274069673,0.792096689919399,1
0.2977777777777778,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8631178707224335,0.7500394083913852,0.7927648642990464,0.7492864391280318,1
0.3966666666666666,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8722433460076046,0.8312638070903676,0.7181644218683112,0.7578980359137375,1
0.3966666666666666,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8942965779467681,0.8349854131955006,0.8174626703245388,0.8230982742047459,1
0.3966666666666666,32,xception,0.0001,0.005,10,0,0,2,2,0.888212927756654,0.8283974772381218,0.7590229350253408,0.787026858608026,1
0.3966666666666666,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8684410646387832,0.7339513616158734,0.7979648217502401,0.7553037573035304,1
0.3966666666666666,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8965779467680608,0.8216271816364098,0.8021873895804663,0.8038991640025214,1
0.4955555555555555,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8783269961977186,0.8066227753690605,0.7735768285721507,0.781329494094223,1
0.4955555555555555,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8958174904942966,0.8462730831394845,0.8224219840716098,0.8308274392880766,1
0.4955555555555555,32,xception,0.0001,0.005,10,0,0,2,2,0.888212927756654,0.8173829299253531,0.8250172763387813,0.8174721211503573,1
0.4955555555555555,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8836501901140684,0.8169138753428631,0.7991518910624764,0.8062472300864383,1
0.4955555555555555,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8760456273764259,0.838800084191214,0.765913600918446,0.7895380559602954,1
0.5944444444444444,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8821292775665399,0.8278880331145074,0.7897510926630815,0.8040698178440147,1
0.5944444444444444,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.9034220532319392,0.8238591421820984,0.8204534933517825,0.8142017555195489,1
0.5944444444444444,32,xception,0.0001,0.005,10,0,0,2,2,0.9003802281368821,0.8245633500517446,0.8216226399516295,0.8216122487431975,1
0.5944444444444444,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8950570342205323,0.8569296967669983,0.8255118562255692,0.8354934663419579,1
0.5944444444444444,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8866920152091254,0.7934779064144261,0.8162227750155444,0.7983596553351909,1
0.6933333333333332,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8836501901140684,0.8402505931822911,0.7779772954751236,0.800389021446599,1
0.6933333333333332,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8904942965779468,0.8408971807626765,0.7580506164975558,0.7918638769132553,1
0.6933333333333332,32,xception,0.0001,0.005,10,0,0,2,2,0.8988593155893536,0.8541280748704473,0.7822775864901967,0.8119422086055245,1
0.6933333333333332,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8859315589353612,0.8403853384562447,0.7141862062839074,0.7363842399271371,1
0.6933333333333332,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8912547528517111,0.8046828680682436,0.8172106972511276,0.8082992778199044,1
0.7922222222222222,32,resnet50,0.0001,0.005,10,0,0,2,2,0.7893536121673004,0.6875390916200186,0.6768206255083092,0.6594221487766672,1
0.7922222222222222,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8980988593155893,0.8462098071821449,0.8061921435459594,0.8239352596607457,1
0.7922222222222222,32,xception,0.0001,0.005,10,0,0,2,2,0.8973384030418251,0.8604714129529178,0.8005214227439235,0.8232649368930648,1
0.7922222222222222,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8965779467680608,0.8486742065338684,0.820408231040415,0.8315097923194552,1
0.7922222222222222,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8821292775665399,0.8131168121165488,0.7957939108416922,0.796535057354005,1
0.8911111111111111,32,resnet50,0.0001,0.005,10,0,0,2,2,0.888212927756654,0.8148883584296802,0.7697220862667936,0.7834094911275893,1
0.8911111111111111,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8821292775665399,0.8622486004025073,0.7315731888456427,0.7823273970698761,1
0.8911111111111111,32,xception,0.0001,0.005,10,0,0,2,2,0.8950570342205323,0.867859589328409,0.7569519092223582,0.8033626950219047,1
0.8911111111111111,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8889733840304183,0.8602392502556373,0.7717503055155087,0.801434725005236,1
